billId,tax,total,date,hour
0,6.87,31.56,06/27/2018,21:59
1,7.0,8.60,05/25/2018,1:48
2,6.0,30.54,03/26/2018,20:45
3,6.0,32.25,12/27/2018,23:55
4,6.0,8.73,08/11/2018,16:46
5,6.0,30.28,01/23/2018,20:44
6,5.75,31.47,01/22/2018,23:27
7,6.25,27.36,04/12/2018,23:6
8,7.0,29.05,04/18/2018,21:2
9,4.0,27.41,11/03/2018,20:29
10,6.25,26.50,12/25/2018,18:57
11,4.0,7.36,12/28/2018,0:11
12,4.0,17.22,10/01/2018,17:34
13,7.0,11.20,03/22/2018,21:30
14,6.0,19.36,09/18/2018,19:6
15,7.0,34.39,05/08/2018,21:50
16,6.25,23.84,11/08/2018,22:27
17,7.25,29.46,08/05/2018,17:13
18,6.0,8.90,09/21/2018,16:42
19,4.0,17.69,02/17/2018,20:56
20,6.62,9.16,06/16/2018,19:14
21,6.25,10.81,12/27/2018,20:51
22,4.0,7.18,12/24/2018,1:34
23,4.75,29.59,02/14/2018,23:1
24,6.0,26.47,03/08/2018,22:24
25,6.0,5.40,06/10/2018,16:9
26,6.0,41.76,11/21/2018,16:15
27,6.87,11.03,02/02/2018,20:4
28,5.75,6.66,11/18/2018,18:43
29,6.0,14.99,11/21/2018,21:48
30,6.0,10.98,12/21/2018,1:17
31,6.0,15.16,01/10/2018,23:40
32,5.75,23.51,12/12/2018,0:21
33,6.0,7.56,08/20/2018,19:20
34,6.87,46.31,03/10/2018,19:19
35,5.75,33.03,08/11/2018,17:8
36,6.25,38.77,06/26/2018,22:20
37,5.0,19.07,04/27/2018,16:45
38,6.0,25.40,03/19/2018,16:27
39,4.0,31.72,12/01/2018,21:49
40,4.0,21.10,08/07/2018,19:14
41,6.25,29.08,09/19/2018,16:50
42,6.25,18.20,09/01/2018,23:22
43,6.0,20.91,01/14/2018,17:43
44,5.3,20.80,05/17/2018,17:5
45,6.87,26.09,12/11/2018,16:57
46,6.25,38.25,01/25/2018,20:17
47,5.75,10.73,01/27/2018,23:18
48,6.0,8.90,07/25/2018,1:43
49,4.0,20.98,05/03/2018,23:1
50,4.75,23.68,02/22/2018,22:2
51,4.0,16.44,12/05/2018,19:36
52,6.0,7.10,11/04/2018,18:35
53,6.25,18.98,08/10/2018,17:7
54,6.62,32.88,06/14/2018,22:8
55,4.0,29.27,02/02/2018,21:22
56,5.75,32.86,01/28/2018,22:4
57,7.0,15.94,10/09/2018,1:55
58,6.0,29.02,06/09/2018,18:1
59,6.0,41.22,12/24/2018,19:37
60,6.25,18.42,06/16/2018,20:37
61,6.0,20.14,01/16/2018,20:39
62,6.35,14.66,12/10/2018,0:43
63,6.62,9.82,11/17/2018,22:1
64,5.75,22.07,07/09/2018,21:38
65,6.25,7.15,05/20/2018,16:59
66,6.35,25.28,07/27/2018,21:55
67,6.87,29.55,08/24/2018,17:28
68,4.0,6.10,07/11/2018,21:15
69,6.0,30.18,01/01/2018,1:6
70,6.0,33.75,10/20/2018,22:14
71,6.62,30.16,03/04/2018,19:10
72,4.0,18.00,12/26/2018,15:30
73,4.0,8.66,08/01/2018,17:43
74,6.25,5.38,02/14/2018,22:9
75,6.0,34.93,02/22/2018,22:4
76,6.62,9.82,09/19/2018,22:51
77,4.75,19.45,06/04/2018,21:17
78,6.0,23.30,10/07/2018,15:28
79,5.0,16.85,02/02/2018,17:15
80,6.25,20.78,02/11/2018,23:4
81,7.0,24.74,11/01/2018,0:15
82,4.0,28.62,04/20/2018,18:41
83,7.0,42.35,10/14/2018,16:23
84,6.25,9.46,08/14/2018,23:37
85,6.62,16.98,06/16/2018,21:1
86,4.0,12.58,09/26/2018,17:59
87,6.25,32.98,07/02/2018,17:21
88,6.35,8.73,11/10/2018,19:24
89,6.87,31.32,07/23/2018,0:27
90,4.0,8.07,01/02/2018,20:46
91,4.0,10.00,02/20/2018,20:33
92,5.75,11.30,07/03/2018,23:23
93,6.0,23.02,09/16/2018,16:51
94,4.0,18.29,04/15/2018,21:41
95,6.25,18.25,07/27/2018,0:24
96,6.62,37.24,03/24/2018,15:16
97,5.75,6.99,12/01/2018,17:50
98,5.5,7.66,07/01/2018,19:41
99,6.0,37.45,05/01/2018,20:7
100,6.0,7.38,01/05/2018,21:57
101,7.0,33.18,04/26/2018,19:13
