drinkerId,itemId
0,37
318,6
761,24
405,1
959,17
211,24
672,2
299,32
805,41
389,48
931,47
405,34
429,8
329,6
104,0
824,37
570,13
730,24
280,14
687,34
355,1
528,11
302,46
52,0
39,26
392,16
687,48
839,30
176,43
617,32
162,10
411,23
369,8
331,39
311,43
965,39
954,34
239,2
113,3
782,6
168,27
851,5
486,24
294,10
199,16
165,9
835,9
81,14
58,44
981,31
682,26
739,32
918,43
949,7
133,37
661,25
557,26
954,39
586,14
759,3
702,37
689,49
310,3
510,44
423,45
692,9
100,6
533,23
285,0
949,3
341,5
757,14
824,33
528,29
87,22
454,30
626,7
290,44
481,8
637,22
894,45
854,10
114,29
135,35
299,10
644,23
558,3
90,7
575,20
625,40
675,43
64,43
774,12
340,2
61,35
412,28
242,6
972,22
32,15
172,31
850,35
941,7
316,8
583,20
61,45
537,1
920,35
527,1
917,27
193,45
385,5
654,46
767,46
948,14
185,15
850,23
751,26
100,20
666,31
178,26
222,36
478,36
322,9
999,28
445,34
919,18
615,23
918,11
841,35
681,45
618,1
315,7
111,29
790,2
269,49
373,23
606,11
577,5
39,8
262,10
42,34
554,15
100,11
537,27
116,12
800,7
711,27
484,19
764,13
358,35
289,13
454,9
202,25
144,48
864,9
479,40
686,29
781,27
571,44
12,41
93,45
428,16
227,0
89,20
236,12
312,15
457,20
975,23
724,42
702,29
204,11
742,37
614,1
324,45
2,18
985,14
167,33
721,3
947,16
998,9
458,2
257,10
722,17
397,28
354,31
472,28
829,43
278,11
839,16
283,45
306,16
701,24
277,4
740,45
186,26
759,4
779,35
93,2
752,31
924,20
927,45
153,38
144,22
613,6
164,18
368,14
298,22
156,25
981,33
201,2
382,49
304,0
673,41
134,44
966,11
728,17
815,18
38,21
73,12
797,49
225,44
124,25
188,25
250,43
178,14
746,2
968,30
229,5
42,18
571,5
737,8
605,36
190,3
961,34
859,36
779,16
434,35
773,36
581,12
299,19
969,23
565,4
735,37
938,1
320,30
5,44
565,9
143,49
104,13
921,6
307,8
547,3
779,16
222,11
184,30
659,47
164,8
118,39
61,0
418,29
769,17
42,5
901,26
377,8
250,24
599,25
652,9
113,17
528,30
612,39
602,12
933,42
817,33
208,20
631,34
419,47
168,1
494,0
838,20
73,25
55,12
210,36
932,6
977,25
662,31
466,27
791,3
15,33
810,48
575,15
329,38
71,20
153,36
683,9
316,33
266,16
938,7
411,49
261,5
671,21
392,27
429,29
650,14
115,13
173,3
424,10
422,29
748,24
608,42
728,19
730,18
303,30
425,45
840,8
979,25
135,1
946,46
423,49
928,18
743,13
101,12
414,26
115,32
828,39
642,13
966,35
765,13
797,12
599,12
196,15
467,14
229,48
720,44
527,2
613,26
149,48
998,31
462,24
387,11
348,6
617,33
499,22
624,21
257,47
9,8
220,18
769,28
724,42
582,37
375,9
284,9
890,26
877,8
131,15
315,24
800,11
123,25
803,19
488,27
685,30
953,43
355,11
57,8
730,17
80,26
579,35
306,40
506,31
828,41
889,9
975,6
628,3
51,7
633,46
665,28
382,33
773,3
6,25
86,27
889,42
267,41
735,10
683,45
145,20
913,44
69,26
419,44
412,27
557,36
953,19
79,5
432,26
743,3
648,15
844,8
534,6
833,31
736,6
234,11
179,46
951,3
466,33
234,5
156,37
725,7
320,18
693,33
263,12
29,47
845,12
897,2
94,35
344,35
618,40
716,6
652,45
490,5
221,42
696,49
207,27
632,28
529,4
216,13
782,15
74,46
218,26
863,0
451,33
483,29
119,29
389,29
776,37
790,30
929,8
931,29
43,5
592,22
16,42
851,28
587,25
515,30
978,25
763,29
730,35
974,9
485,23
880,32
850,10
55,3
162,8
773,46
218,14
275,34
930,35
331,19
913,45
474,12
882,5
216,24
159,31
830,13
808,44
18,44
288,9
610,23
501,40
699,31
594,19
292,22
250,41
588,41
27,49
381,8
805,31
731,26
526,24
437,20
779,4
327,26
116,3
505,36
565,43
992,44
837,16
839,24
229,22
114,35
351,3
814,6
919,30
792,26
306,4
33,33
986,19
418,7
68,12
74,41
95,35
385,35
920,19
800,18
638,16
144,29
87,20
691,34
661,11
274,11
977,7
308,39
154,17
232,23
426,16
728,3
902,45
698,11
119,33
323,36
226,35
106,10
696,7
551,42
186,11
182,21
222,34
996,19
630,23
229,12
123,22
127,22
350,21
78,13
6,26
861,19
331,11
374,22
694,27
350,17
971,44
544,9
340,26
940,25
579,8
372,29
875,47
763,40
708,24
298,48
129,10
145,24
64,35
630,38
661,7
764,15
843,14
331,7
832,5
608,43
68,3
882,23
510,41
321,27
955,21
522,1
148,14
514,15
42,9
7,2
393,14
70,42
382,33
948,43
71,41
925,47
397,24
962,12
816,48
523,21
536,30
257,9
659,17
590,10
648,6
964,41
966,31
519,20
177,8
631,16
443,43
949,28
435,25
890,32
861,14
279,38
566,6
724,5
657,15
592,19
75,17
106,19
0,45
66,40
800,16
879,24
345,23
582,1
250,4
60,0
553,46
16,2
153,17
279,27
212,4
949,23
601,20
333,42
906,23
893,30
509,20
985,3
885,4
355,18
228,34
764,21
951,49
850,26
6,45
197,35
14,5
423,16
525,29
688,45
914,30
907,48
454,10
57,6
491,8
8,32
311,2
631,18
597,29
297,7
672,43
643,28
141,46
900,12
748,35
672,17
74,12
57,10
7,42
434,12
527,43
449,25
415,21
665,33
349,8
929,19
548,32
629,34
395,28
206,30
729,47
121,19
120,18
737,42
299,46
841,6
868,14
442,41
95,49
78,9
596,29
519,3
221,3
46,4
101,16
707,10
841,38
438,10
694,14
769,11
894,22
746,1
784,35
736,24
275,42
73,16
863,2
13,3
48,10
819,44
703,11
598,11
751,8
508,17
801,0
299,21
957,38
48,30
774,17
677,25
455,48
478,23
360,39
761,38
600,13
816,47
477,26
252,31
439,23
495,3
981,45
389,7
499,41
568,24
713,7
103,8
337,31
387,26
308,5
678,14
49,17
8,9
979,16
151,6
950,40
618,32
926,23
226,30
644,5
382,18
606,47
713,14
922,17
586,44
367,23
848,18
424,13
336,39
549,10
636,8
887,0
746,42
544,41
854,24
397,29
789,37
50,43
591,31
984,37
832,30
837,29
11,10
448,2
987,12
495,31
424,35
887,9
90,10
687,12
998,2
594,4
482,7
543,43
342,37
174,5
248,35
913,5
356,8
661,30
327,23
92,38
694,3
777,49
312,5
863,35
100,43
765,24
160,5
570,38
424,29
625,0
639,40
473,16
325,42
12,23
773,9
42,39
306,36
473,4
542,12
963,25
350,13
852,22
829,33
175,15
163,29
604,15
985,40
744,0
604,26
488,2
148,1
779,35
176,34
860,18
872,39
681,13
623,6
163,4
946,24
658,26
897,28
420,30
961,2
673,26
300,42
222,4
22,32
909,41
892,10
405,1
595,25
883,41
763,4
125,2
262,26
62,27
808,20
915,38
828,19
129,31
545,36
169,13
608,3
250,18
323,2
521,36
667,49
495,19
430,41
766,26
611,18
489,14
587,3
624,49
694,42
37,14
279,28
726,11
582,3
527,0
687,1
83,30
164,42
111,33
340,4
451,40
118,1
198,38
430,25
805,1
667,4
215,48
522,2
624,3
683,45
688,29
694,47
271,35
129,28
880,23
313,0
807,28
642,26
128,24
470,9
198,46
158,30
284,38
887,22
595,16
491,18
793,31
659,2
218,15
655,1
582,45
770,21
279,47
868,2
29,6
693,9
199,36
427,26
680,0
985,14
132,20
204,20
366,2
746,47
103,8
593,4
805,11
738,6
94,2
176,22
183,17
193,8
917,45
96,11
847,12
907,17
606,16
304,30
131,31
911,26
931,6
668,48
969,26
845,8
504,24
730,35
155,5
845,37
948,42
783,37
317,34
827,23
838,3
460,40
395,36
247,48
49,31
812,0
670,30
287,13
626,13
181,36
77,2
77,32
862,36
828,37
78,44
557,23
727,13
907,3
580,42
564,26
590,10
197,43
943,47
428,18
127,39
238,40
417,5
477,28
642,34
861,15
997,2
523,23
869,17
650,49
96,15
732,0
60,13
842,8
962,46
616,37
236,48
960,40
179,32
617,34
353,16
131,22
256,8
354,16
461,7
317,27
501,43
602,38
914,33
32,40
409,49
800,41
820,33
568,37
527,14
477,30
833,30
533,17
889,25
343,24
666,49
663,44
629,15
634,40
449,37
82,25
66,12
486,26
27,15
218,2
953,43
198,20
909,45
269,5
917,11
165,3
625,7
142,47
77,5
928,36
808,43
789,41
295,33
968,43
350,27
697,28
276,31
263,44
274,21
136,39
305,28
312,11
333,35
411,1
481,6
24,22
240,34
877,47
981,8
889,24
896,14
386,43
614,27
476,36
363,11
234,22
855,28
892,47
458,49
381,49
789,3
391,0
231,37
253,31
312,47
21,21
382,38
545,20
641,12
553,19
365,44
46,19
220,34
253,38
85,16
374,30
925,18
512,19
784,0
194,34
772,37
145,28
