barid,itemid,price
0,3,5.15
0,8,9.2
0,12,9.42
0,22,5.72
0,33,9.58
0,39,9.82
0,45,8.84
1,0,5.13
1,5,7.28
1,9,5.39
1,14,7.48
1,26,8.65
1,27,10.23
1,32,6.64
1,47,10.89
2,5,7.16
2,7,9
2,11,7.36
2,22,5.84
2,31,7.82
2,32,6.62
2,33,9.57
2,34,9.77
2,40,6.84
3,1,6.03
3,4,8.11
3,8,9.2
3,11,7.3
3,25,9.45
3,31,7.83
3,43,6.92
4,2,7.08
4,4,8.15
4,23,7.66
4,32,6.6
4,33,9.66
4,36,5.87
5,0,5.13
5,3,5.24
5,4,8.06
5,11,7.4
5,17,5.5
5,18,8.27
5,31,7.79
5,48,7.88
5,49,10.91
6,0,5.11
6,2,7.1
6,8,9.15
6,18,8.32
6,26,8.59
6,28,10.36
6,31,7.84
6,45,8.99
6,47,10.89
7,4,8.16
7,7,9.04
7,15,10.03
7,16,6.3
7,18,8.25
7,23,7.66
7,42,10.69
7,43,6.92
8,7,9.03
8,9,5.4
8,17,5.45
8,18,8.21
8,29,6.59
8,33,9.65
8,40,6.89
9,4,8.13
9,13,6.23
9,21,5.6
9,32,6.64
9,34,9.68
9,38,8.67
9,39,9.79
9,44,9.9
10,8,9.17
10,9,5.31
10,13,6.29
10,17,5.51
10,24,10.12
10,38,8.71
10,40,6.89
10,45,8.97
11,4,8.15
11,6,6.14
11,7,9.03
11,12,9.37
11,14,7.5
11,16,6.36
11,17,5.54
11,23,7.71
11,26,8.55
11,32,6.67
11,33,9.65
11,45,8.89
11,48,7.87
12,0,5.07
12,5,7.24
12,10,9.29
12,14,7.43
12,20,8.48
12,21,5.69
12,30,10.43
12,34,9.69
12,43,6.97
13,8,9.16
13,9,5.32
13,13,6.22
13,18,8.23
13,20,8.36
13,23,7.68
13,26,8.5
13,27,10.22
13,33,9.66
13,34,9.74
13,36,5.95
13,44,10
13,48,7.86
14,2,7.09
14,4,8.12
14,5,7.14
14,13,6.27
14,20,8.35
14,25,9.53
14,28,10.3
14,30,10.4
14,37,6.71
14,49,10.97
15,2,7.09
15,4,8.04
15,21,5.59
15,23,7.59
15,30,10.39
15,33,9.67
15,34,9.68
16,0,5.1
16,6,6.19
16,7,9.09
16,9,5.29
16,11,7.39
16,22,5.72
16,26,8.6
16,31,7.8
16,34,9.69
16,39,9.79
16,41,10.57
16,49,10.92
17,2,7.05
17,14,7.45
17,22,5.71
17,25,9.55
17,27,10.21
17,46,10.8
17,47,10.83
17,48,7.93
18,3,5.24
18,6,6.19
18,10,9.25
18,11,7.35
18,14,7.47
18,15,10.05
18,18,8.21
18,20,8.36
18,23,7.64
18,25,9.45
18,28,10.31
18,39,9.84
18,44,9.91
18,45,8.98
19,11,7.4
19,20,8.34
19,21,5.6
19,24,10.1
19,28,10.3
19,30,10.38
19,31,7.82
19,32,6.68
19,34,9.74
19,35,10.47
19,46,10.73
19,47,10.88
19,48,8
19,49,10.94
20,1,6.1
20,2,7.07
20,10,9.29
20,12,9.42
20,25,9.51
20,27,10.27
20,31,7.76
20,42,10.71
20,49,10.97
21,1,6.05
21,6,6.16
21,25,9.53
21,29,6.58
21,31,7.78
21,39,9.8
22,10,9.32
22,13,6.25
22,14,7.54
22,15,10.06
22,30,10.39
22,43,6.96
22,44,9.89
23,4,8.13
23,5,7.25
23,11,7.37
23,17,5.5
23,23,7.67
23,27,10.23
23,29,6.51
23,32,6.69
23,41,10.63
23,44,9.96
23,47,10.83
24,2,7.08
24,3,5.16
24,13,6.29
24,16,6.31
24,17,5.57
24,19,6.4
24,23,7.63
24,35,10.52
24,45,8.84
25,1,6
25,16,6.32
25,18,8.25
25,20,8.42
25,22,5.77
25,24,10.17
25,25,9.45
25,26,8.61
25,27,10.22
25,31,7.83
25,33,9.67
25,39,9.83
25,45,8.9
25,49,10.95
26,0,5
26,6,6.12
26,15,10.08
26,17,5.57
26,20,8.37
26,26,8.62
26,29,6.52
26,38,8.81
27,2,7.13
27,4,8.08
27,6,6.15
27,9,5.35
27,15,10.05
27,19,6.47
27,21,5.69
27,23,7.67
27,24,10.1
27,26,8.66
28,5,7.15
28,14,7.52
28,24,10.12
28,25,9.48
28,36,5.98
28,37,6.71
28,38,8.68
28,48,7.86
29,4,8.15
29,5,7.28
29,13,6.2
29,14,7.56
29,15,10.04
29,16,6.33
29,23,7.61
29,35,10.51
29,37,6.73
29,42,10.66
29,45,8.85
30,8,9.21
30,17,5.43
30,21,5.61
30,27,10.24
30,33,9.57
30,34,9.68
30,37,6.72
30,44,10
30,45,8.87
30,46,10.76
31,8,9.21
31,14,7.51
31,20,8.35
31,22,5.83
31,23,7.59
31,26,8.61
31,29,6.55
31,33,9.66
31,35,10.47
31,38,8.76
31,48,7.9
32,3,5.21
32,12,9.37
32,15,10.08
32,22,5.86
32,32,6.63
33,2,7.07
33,3,5.21
33,8,9.21
33,16,6.31
33,17,5.56
33,25,9.55
33,34,9.67
33,38,8.83
33,40,6.89
33,43,6.9
33,48,7.88
34,2,7.02
34,5,7.21
34,7,9.01
34,8,9.21
34,20,8.36
34,28,10.34
34,29,6.58
34,33,9.56
34,41,10.61
35,2,7.02
35,11,7.32
35,14,7.43
35,18,8.27
35,23,7.58
35,30,10.4
35,37,6.75
35,40,6.8
35,41,10.56
35,43,6.97
36,4,8.06
36,17,5.51
36,32,6.64
36,38,8.7
36,39,9.8
36,48,7.9
37,5,7.28
37,10,9.3
37,11,7.3
37,14,7.47
37,15,10.08
37,17,5.51
37,19,6.46
37,28,10.31
37,38,8.7
37,42,10.68
37,48,7.96
37,49,10.92
38,4,8.14
38,16,6.32
38,18,8.2
38,21,5.63
38,22,5.84
38,24,10.16
38,32,6.66
38,35,10.47
38,36,5.99
39,0,5.08
39,1,6.02
39,5,7.22
39,6,6.13
39,9,5.4
39,12,9.39
39,13,6.24
39,14,7.46
39,22,5.77
39,31,7.78
39,32,6.65
39,34,9.73
39,38,8.77
39,43,6.92
40,1,6.05
40,4,8.02
40,7,9.02
40,8,9.18
40,18,8.3
40,32,6.7
40,33,9.62
40,35,10.5
40,38,8.69
40,45,8.89
41,7,9.04
41,12,9.33
41,24,10.18
41,32,6.63
41,33,9.62
41,38,8.81
41,40,6.89
41,49,10.98
42,8,9.22
42,12,9.41
42,16,6.33
42,17,5.46
42,32,6.69
42,36,5.95
43,0,5.03
43,1,6
43,3,5.17
43,4,8.14
43,5,7.25
43,7,9.1
43,19,6.45
43,31,7.8
43,33,9.57
43,38,8.78
43,43,6.93
43,45,8.85
44,0,5.04
44,2,7.05
44,4,8.12
44,8,9.18
44,24,10.14
44,33,9.57
44,34,9.68
44,35,10.52
44,39,9.83
44,48,7.95
45,31,7.72
45,42,10.68
45,47,10.84
45,49,10.97
46,6,6.14
46,8,9.18
46,12,9.34
46,16,6.37
46,18,8.33
46,22,5.77
46,35,10.54
46,42,10.68
46,43,6.92
46,47,10.84
47,4,8.09
47,13,6.28
47,14,7.53
47,17,5.56
47,21,5.7
47,24,10.16
47,34,9.76
47,40,6.84
47,44,9.94
48,1,6.03
48,2,7.08
48,9,5.39
48,11,7.32
48,21,5.66
48,31,7.82
48,32,6.7
48,36,5.99
48,45,8.86
49,3,5.18
49,4,8.15
49,6,6.19
49,8,9.12
49,14,7.48
49,46,10.78
50,0,5
50,18,8.26
50,22,5.79
50,24,10.15
50,25,9.53
50,26,8.57
50,27,10.26
50,28,10.28
50,42,10.72
50,43,6.91
51,2,7
51,3,5.17
51,15,10.02
51,17,5.45
51,20,8.39
51,37,6.76
51,48,7.91
52,10,9.3
52,11,7.37
52,14,7.53
52,16,6.32
52,29,6.51
52,30,10.43
52,33,9.58
52,40,6.85
53,22,5.76
53,23,7.64
53,37,6.74
54,4,8.06
54,5,7.28
54,24,10.17
54,30,10.45
54,40,6.85
54,45,8.85
54,46,10.82
54,48,7.97
55,3,5.26
55,6,6.11
55,7,9.03
55,11,7.4
55,12,9.36
55,18,8.28
55,23,7.58
55,42,10.69
55,46,10.78
56,5,7.28
56,17,5.47
56,20,8.45
56,22,5.81
56,28,10.29
56,30,10.44
56,32,6.7
56,33,9.6
57,0,5.02
57,6,6.18
57,12,9.36
57,32,6.65
57,39,9.87
57,40,6.87
57,48,7.98
58,7,9.07
58,14,7.52
58,15,10.07
58,19,6.43
58,20,8.4
58,21,5.69
58,22,5.83
58,23,7.64
58,31,7.82
58,43,6.95
58,48,7.87
59,11,7.35
59,12,9.39
59,20,8.34
59,29,6.55
59,43,6.92
59,45,8.9
60,9,5.29
60,12,9.41
60,18,8.17
60,23,7.68
60,25,9.55
60,26,8.53
60,30,10.42
60,31,7.8
60,33,9.65
60,38,8.81
60,42,10.73
60,43,6.93
60,46,10.76
61,6,6.17
61,11,7.31
61,15,10.04
61,18,8.25
61,22,5.76
61,28,10.36
61,32,6.67
61,36,5.89
61,40,6.89
62,3,5.21
62,4,8.15
62,11,7.32
62,17,5.57
62,21,5.66
62,28,10.27
62,49,10.96
63,6,6.12
63,10,9.31
63,12,9.38
63,17,5.55
63,20,8.4
63,24,10.15
63,29,6.54
63,39,9.8
64,1,6.06
64,2,7.12
64,3,5.25
64,9,5.29
64,12,9.34
64,14,7.44
64,18,8.24
64,19,6.48
64,30,10.38
64,38,8.81
64,42,10.66
64,45,8.85
64,49,10.96
65,8,9.18
65,10,9.23
65,27,10.24
65,31,7.81
66,6,6.18
66,9,5.3
66,15,10.05
66,16,6.31
66,17,5.51
66,20,8.49
66,24,10.1
66,27,10.19
66,48,7.98
66,49,10.91
67,2,7.1
67,4,8.07
67,16,6.37
67,26,8.52
67,42,10.64
67,45,8.92
68,15,10.04
68,17,5.5
68,18,8.18
68,21,5.66
68,25,9.45
68,26,8.56
68,36,5.86
68,42,10.66
68,45,8.99
68,47,10.9
69,0,5.09
69,1,6.08
69,2,7.1
69,3,5.24
69,4,8.1
69,20,8.4
69,21,5.62
69,29,6.58
69,32,6.66
69,46,10.8
70,2,7.12
70,9,5.4
70,12,9.43
70,14,7.44
70,19,6.5
70,26,8.52
70,28,10.34
70,33,9.6
70,36,5.97
70,38,8.81
70,45,8.85
71,16,6.37
71,17,5.51
71,20,8.34
71,31,7.8
71,35,10.49
71,39,9.83
71,44,9.91
71,45,8.93
72,0,5.06
72,3,5.24
72,4,8.15
72,15,10.09
72,17,5.52
72,30,10.42
72,31,7.77
72,34,9.73
72,36,5.89
72,47,10.9
73,3,5.25
73,5,7.22
73,18,8.19
73,19,6.49
73,20,8.41
73,25,9.53
73,34,9.72
74,0,5.13
74,7,9.11
74,12,9.44
74,13,6.23
74,16,6.34
74,20,8.49
74,21,5.66
74,28,10.29
74,29,6.51
74,30,10.39
74,32,6.62
74,40,6.9
75,0,5.11
75,5,7.26
75,14,7.55
75,16,6.31
75,17,5.57
75,20,8.47
75,23,7.59
75,29,6.6
76,2,7.07
76,3,5.22
76,4,8.01
76,15,10.05
76,20,8.4
76,21,5.68
76,26,8.67
76,28,10.28
76,34,9.75
76,39,9.78
76,45,8.85
77,6,6.12
77,7,9.03
77,18,8.32
77,19,6.45
77,20,8.35
77,24,10.12
77,25,9.46
77,30,10.4
77,33,9.64
77,42,10.65
77,43,7
77,47,10.83
78,0,5
78,4,8.11
78,5,7.26
78,8,9.18
78,10,9.33
78,17,5.48
78,19,6.45
78,28,10.31
78,32,6.61
78,40,6.83
78,41,10.57
78,47,10.84
78,49,10.99
79,7,9.03
79,9,5.3
79,13,6.23
79,15,10.09
79,18,8.23
79,26,8.61
79,27,10.19
79,32,6.68
79,39,9.85
79,47,10.9
80,2,7.04
80,3,5.22
80,12,9.43
80,14,7.52
80,21,5.58
80,23,7.66
80,29,6.54
80,30,10.36
80,32,6.66
80,34,9.7
80,47,10.85
