transactionId,drinkerId,barId,billId,itemId,price
0,834,15,0,33,9.67
1,834,15,0,23,7.59
2,834,15,0,23,7.59
3,834,15,0,23,7.59
4,355,63,1,24,10.15
5,355,63,1,10,9.31
6,355,63,1,17,5.55
7,355,63,1,24,10.15
8,863,0,2,39,9.82
9,794,95,3,9,5.35
10,794,95,3,43,6.94
11,794,95,3,26,8.58
12,794,95,3,27,10.2
13,421,3,4,31,7.83
14,421,3,4,11,7.3
15,421,3,4,11,7.3
16,421,3,4,4,8.11
17,669,3,5,31,7.83
18,988,94,6,38,8.81
19,988,94,6,18,8.24
20,952,88,7,26,8.52
21,952,88,7,18,8.32
22,952,88,7,26,8.52
23,952,88,7,47,10.88
24,674,84,8,8,9.2
25,590,18,9,45,8.98
26,590,18,9,10,9.25
27,353,53,10,23,7.64
28,353,53,10,37,6.74
29,353,53,10,23,7.64
30,123,98,11,11,7.39
31,123,98,11,20,8.34
32,123,98,11,48,7.92
33,123,98,11,11,7.39
34,979,91,12,0,5.04
35,979,91,12,38,8.8
36,979,91,12,35,10.46
37,345,87,13,14,7.56
38,345,87,13,8,9.2
39,345,87,13,4,8.17
40,345,87,13,8,9.2
41,755,85,14,17,5.52
42,755,85,14,11,7.29
43,755,85,14,40,6.89
44,755,85,14,8,9.12
45,347,70,15,14,7.44
46,347,70,15,19,6.5
47,885,78,16,17,5.48
48,885,78,16,47,10.84
49,885,78,16,10,9.33
50,885,78,16,0,5.0
51,317,74,17,30,10.39
52,317,74,17,29,6.51
53,824,87,18,1,6.07
54,299,77,19,19,6.45
55,299,77,19,19,6.45
56,352,91,20,26,8.56
57,352,91,20,3,5.26
58,352,91,20,3,5.26
59,352,91,20,11,7.31
60,702,43,21,5,7.25
61,846,99,22,20,8.37
62,846,99,22,26,8.59
63,846,99,22,23,7.59
64,983,98,23,13,6.27
65,854,2,24,31,7.82
66,854,2,24,7,9.0
67,720,58,25,31,7.82
68,720,58,25,14,7.52
69,720,58,25,20,8.4
70,720,58,25,21,5.69
71,983,47,26,24,10.16
72,983,47,26,24,10.16
73,737,83,27,0,5.01
74,737,83,27,39,9.83
75,483,55,28,12,9.36
76,483,55,28,23,7.58
77,483,55,28,42,10.69
78,483,55,28,23,7.58
79,581,8,29,9,5.4
80,581,8,29,33,9.65
81,581,8,29,18,8.21
82,314,38,30,21,5.63
83,692,70,31,28,10.34
84,692,70,31,33,9.6
85,692,70,31,28,10.34
86,692,70,31,45,8.85
87,372,38,32,16,6.32
88,372,38,32,35,10.47
89,372,38,32,4,8.14
90,372,38,32,35,10.47
91,365,26,33,15,10.08
92,365,26,33,38,8.81
93,365,26,33,29,6.52
94,365,26,33,6,6.12
95,730,92,34,7,9.07
96,272,34,35,7,9.01
97,272,34,35,41,10.61
98,272,34,35,29,6.58
99,272,34,35,41,10.61
100,318,66,36,17,5.51
101,318,66,36,6,6.18
102,318,66,36,49,10.91
103,64,42,37,36,5.95
104,64,42,37,8,9.22
105,64,42,37,36,5.95
106,64,42,37,17,5.46
107,677,98,38,13,6.27
108,677,98,38,22,5.8
109,677,98,38,7,9.1
110,677,98,38,48,7.92
111,261,68,39,36,5.86
112,257,48,40,45,8.86
113,257,48,40,9,5.39
114,574,35,41,30,10.4
115,809,4,42,32,6.6
116,223,82,43,32,6.65
117,721,38,44,22,5.84
118,506,10,45,13,6.29
119,544,41,46,38,8.81
120,875,25,47,24,10.17
121,875,25,47,22,5.77
122,875,25,47,20,8.42
123,875,25,47,45,8.9
124,175,53,48,37,6.74
125,175,53,48,37,6.74
126,175,53,48,37,6.74
127,175,53,48,23,7.64
128,414,26,49,20,8.37
129,414,26,49,0,5.0
130,414,26,49,17,5.57
131,202,87,50,4,8.17
132,202,87,50,1,6.07
133,645,64,51,45,8.85
134,645,64,51,3,5.25
135,645,64,51,18,8.24
136,645,64,51,38,8.81
137,398,72,52,34,9.73
138,398,72,52,47,10.9
139,740,89,53,49,10.96
140,740,89,53,49,10.96
141,740,89,53,2,7.01
142,84,98,54,13,6.27
143,84,98,54,48,7.92
144,277,17,55,25,9.55
145,277,17,55,46,10.8
146,277,17,55,47,10.83
147,436,73,56,25,9.53
148,214,67,57,4,8.07
149,611,55,58,7,9.03
150,611,55,58,46,10.78
151,611,55,58,6,6.11
152,12,89,59,49,10.96
153,275,50,60,43,6.91
154,275,50,60,42,10.72
155,906,36,61,39,9.8
156,340,55,62,12,9.36
157,340,55,62,46,10.78
158,340,55,62,18,8.28
159,340,55,62,7,9.03
160,881,46,63,35,10.54
161,881,46,63,22,5.77
162,881,46,63,16,6.37
163,228,60,64,23,7.68
164,228,60,64,31,7.8
165,364,50,65,26,8.57
166,364,50,65,27,10.26
167,364,50,65,26,8.57
168,56,95,66,26,8.58
169,533,28,67,38,8.68
170,725,70,68,12,9.43
171,725,70,68,36,5.97
172,743,7,69,7,9.04
173,743,7,69,43,6.92
174,743,7,69,42,10.69
175,190,92,70,49,10.94
176,367,78,71,5,7.26
177,348,59,72,20,8.34
178,515,65,73,8,9.18
179,515,65,73,31,7.81
180,515,65,73,31,7.81
181,515,65,73,31,7.81
182,50,2,74,7,9.0
183,50,2,74,40,6.84
184,50,2,74,31,7.82
185,355,63,75,12,9.38
186,355,63,75,6,6.12
187,355,63,75,39,9.8
188,789,12,76,14,7.43
189,789,12,76,5,7.24
190,789,12,76,14,7.43
191,789,12,76,43,6.97
192,541,50,77,18,8.26
193,230,45,78,42,10.68
194,230,45,78,31,7.72
195,230,45,78,42,10.68
196,726,82,79,38,8.7
197,726,82,79,38,8.7
198,209,81,80,26,8.58
199,209,81,80,43,6.91
200,209,81,80,8,9.13
201,757,5,81,49,10.91
202,757,5,81,49,10.91
203,619,33,82,8,9.21
204,12,89,83,49,10.96
205,12,89,83,23,7.65
206,12,89,83,18,8.17
207,957,33,84,40,6.89
208,957,33,84,40,6.89
209,957,33,84,34,9.67
210,205,37,85,48,7.96
211,205,37,85,49,10.92
212,205,37,85,14,7.47
213,434,71,86,31,7.8
214,534,24,87,35,10.52
215,637,16,88,49,10.92
216,637,16,88,6,6.19
217,637,16,88,41,10.57
218,637,16,88,9,5.29
219,647,82,89,45,8.93
220,647,82,89,32,6.65
221,647,82,89,3,5.28
222,728,3,90,31,7.83
223,728,3,90,8,9.2
224,728,3,90,31,7.83
225,728,3,90,43,6.92
226,421,74,91,21,5.66
227,743,7,92,43,6.92
228,743,7,92,43,6.92
229,803,79,93,15,10.09
230,803,79,93,13,6.23
231,592,3,94,43,6.92
232,592,3,94,25,9.45
233,592,3,94,43,6.92
234,24,49,95,8,9.12
235,784,69,96,21,5.62
236,784,69,96,29,6.58
237,784,69,96,4,8.1
238,685,76,97,45,8.85
239,685,76,97,45,8.85
240,685,76,97,15,10.05
241,685,76,97,34,9.75
242,639,94,98,35,10.47
243,938,6,99,8,9.15
244,938,6,99,28,10.36
245,938,6,99,31,7.84
246,862,50,100,18,8.26
247,862,50,100,28,10.28
248,862,50,100,43,6.91
249,928,4,101,4,8.15
250,794,95,102,9,5.35
251,794,95,102,9,5.35
252,794,95,102,9,5.35
253,794,95,102,45,8.89
254,9,40,103,4,8.02
255,9,40,103,45,8.89
256,9,40,103,33,9.62
257,954,57,104,12,9.36
258,954,57,104,40,6.87
259,954,57,104,48,7.98
260,191,84,105,5,7.26
261,191,84,105,3,5.19
262,126,98,106,0,5.04
263,126,98,106,17,5.51
264,126,98,106,7,9.1
265,181,73,107,18,8.19
266,138,85,108,40,6.89
267,138,85,108,0,5.05
268,138,85,108,17,5.52
269,138,85,108,14,7.48
270,384,7,109,15,10.03
271,384,7,109,43,6.92
272,384,7,109,7,9.04
273,891,83,110,0,5.01
274,891,83,110,45,8.9
275,798,1,111,26,8.65
276,798,1,111,27,10.23
277,547,4,112,23,7.66
278,547,4,112,32,6.6
279,906,73,113,25,9.53
280,906,73,113,5,7.22
281,906,73,113,34,9.72
282,906,73,113,5,7.22
283,105,76,114,45,8.85
284,81,32,115,22,5.86
285,81,32,115,15,10.08
286,33,25,116,25,9.45
287,33,25,116,26,8.61
288,33,25,116,39,9.83
289,33,25,116,1,6.0
290,127,57,117,6,6.18
291,127,57,117,39,9.87
292,127,57,117,32,6.65
293,272,34,118,20,8.36
294,272,34,118,41,10.61
295,272,34,118,20,8.36
296,75,91,119,26,8.56
297,75,91,119,35,10.46
298,75,91,119,38,8.8
299,75,91,119,11,7.31
300,382,64,120,1,6.06
301,382,64,120,30,10.38
302,382,64,120,14,7.44
303,382,64,120,14,7.44
304,435,97,121,10,9.3
305,435,97,121,43,6.92
306,435,97,121,5,7.25
307,435,97,121,43,6.92
308,47,99,122,17,5.46
309,47,99,122,30,10.42
310,122,20,123,1,6.1
311,611,46,124,12,9.34
312,611,46,124,43,6.92
313,611,46,124,8,9.18
314,35,7,125,7,9.04
315,35,7,125,43,6.92
316,836,97,126,0,5.12
317,836,97,126,43,6.92
318,836,97,126,45,8.86
319,836,97,126,5,7.25
320,696,25,127,22,5.77
321,696,25,127,1,6.0
322,535,0,128,39,9.82
323,696,25,129,25,9.45
324,696,25,129,45,8.9
325,696,25,129,22,5.77
326,758,9,130,4,8.13
327,758,9,130,4,8.13
328,758,9,130,21,5.6
329,758,9,130,21,5.6
330,265,7,131,23,7.66
331,265,7,131,42,10.69
332,265,7,131,16,6.3
333,265,7,131,15,10.03
334,552,52,132,11,7.37
335,109,80,133,21,5.58
336,109,80,133,34,9.7
337,109,80,133,47,10.85
338,109,80,133,21,5.58
339,62,41,134,24,10.18
340,62,41,134,38,8.81
341,686,94,135,38,8.81
342,686,94,135,24,10.11
343,686,94,135,20,8.43
344,686,94,135,31,7.76
345,34,91,136,3,5.26
346,34,91,136,17,5.56
